forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,8,-20608.1875,0.12976804,0.5515759,0.2749011,0.04375496,,
False,8,-20140.921875,0.22055359,0.40056768,0.32346553,0.055413198,,
False,8,-19673.65625,0.22138985,0.33558935,0.40634528,0.036675546,,
False,8,-19206.390625,0.21019661,0.22102436,0.44375545,0.12502362,,
False,8,-18739.125,0.21931544,0.14630282,0.4588682,0.1755135,,
False,8,-18271.859375,0.22060812,0.1082175,0.4501899,0.22098446,,
False,8,-17804.59375,0.21345618,0.082510754,0.41507143,0.2889616,-0.8666666666666666,-0.7333333333333333
False,8,-17337.328125,0.21440908,0.060862184,0.38525844,0.3394703,-0.5333333333333333,-0.7833333333333333
False,8,-16870.0625,0.2574433,0.0645972,0.45261675,0.22534275,-0.7723076923076924,-0.8707692307692309
False,8,-16402.796875,0.2277576,0.04551229,0.37095445,0.35577562,-0.42539682539682544,-0.5619047619047619
False,8,-15935.53125,0.18208398,0.03000229,0.30196592,0.4859478,-0.09178743961352658,-0.5304347826086957
False,8,-15468.265625,0.17195033,0.024082014,0.2789004,0.5250672,0.2155844155844156,-0.45454545454545453
False,8,-15001.0,0.16065998,0.016678987,0.2389745,0.58368653,0.14778554778554778,-0.45268065268065266
