forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,0,-12496.409065565307,0.16616413,0.21098165,0.4798121,0.14304212,,
True,0,-12491.764873515745,0.14684443,0.24226007,0.41800404,0.19289145,,
True,0,-12487.120681466185,0.14532939,0.2382752,0.36352295,0.2528725,,
True,0,-12482.476489416624,0.1775081,0.19443026,0.42022339,0.20783827,,
True,0,-12477.832297367062,0.1778538,0.18100461,0.40296084,0.23818076,,
True,0,-12473.188105317502,0.16766515,0.17886809,0.38327965,0.2701871,,
True,0,-12468.54391326794,0.16854501,0.16071385,0.39451915,0.276222,,
True,0,-12463.899721218379,0.18467928,0.2404583,0.3876093,0.18725312,,
True,0,-12459.255529168817,0.16120175,0.25595474,0.36982363,0.21301985,,
True,0,-12454.611337119257,0.12906651,0.2575171,0.307872,0.30554438,,
True,0,-12449.967145069695,0.12530279,0.26224926,0.2932193,0.31922865,,
True,0,-12445.322953020133,0.1461835,0.23786739,0.31218502,0.30376405,,
True,0,-12440.678760970573,0.21302435,0.25405478,0.35800806,0.17491284,,
True,0,-12436.034568921012,0.15327361,0.26793432,0.34422845,0.23456366,,
True,0,-12431.39037687145,0.116347015,0.20288885,0.27115664,0.40960747,,
True,0,-12426.74618482189,0.10724857,0.17388734,0.25371268,0.4651514,,
True,0,-12422.101992772328,0.11047473,0.18566062,0.24756415,0.4563005,,
True,0,-12417.457800722766,0.111666836,0.19928458,0.23607512,0.45297346,,
True,0,-12412.813608673207,0.11902688,0.25247115,0.22799239,0.40050954,,
True,0,-12408.169416623645,0.12575457,0.25784674,0.22658673,0.38981193,,
True,0,-12403.525224574083,0.0733145,0.31656706,0.16301897,0.44709945,,
True,0,-12398.881032524523,0.06631119,0.27060565,0.14129853,0.52178466,,
True,0,-12394.236840474961,0.066392526,0.2228744,0.1373318,0.5734013,,
True,0,-12389.5926484254,0.07035265,0.21197625,0.13138004,0.5862911,,
True,0,-12384.94845637584,0.068211064,0.20288292,0.12232709,0.60657895,,
True,0,-12380.304264326278,0.0935331,0.18887344,0.14954701,0.56804645,,
True,0,-12375.660072276716,0.06342987,0.17238913,0.1255667,0.6386143,,
True,0,-12371.015880227154,0.052090205,0.14897552,0.09735934,0.7015749,,
True,0,-12366.371688177594,0.052277874,0.15003522,0.0981114,0.69957554,,
True,0,-12361.727496128033,0.04909424,0.14660423,0.08756934,0.7167322,,
True,0,-12357.083304078471,0.062977165,0.16999799,0.088931665,0.6780932,,
True,0,-12352.439112028911,0.05859368,0.16600046,0.08825093,0.68715495,,
True,0,-12347.79491997935,0.044254057,0.1417112,0.075485624,0.7385491,,
True,0,-12343.150727929788,0.042949453,0.14268751,0.0717919,0.7425711,,
True,0,-12338.506535880228,0.046911858,0.13274561,0.076216094,0.74412644,,
True,0,-12333.862343830666,0.039121695,0.11597927,0.06052949,0.7843696,,
True,0,-12329.218151781104,0.064006664,0.22909494,0.08559657,0.62130183,,
True,0,-12324.573959731544,0.03465538,0.19820383,0.06519447,0.7019463,,
True,0,-12319.929767681982,0.032543365,0.13628034,0.05562961,0.77554667,,
True,0,-12315.28557563242,0.029609468,0.13540311,0.048226286,0.78676116,,
True,0,-12310.64138358286,0.038980667,0.14901647,0.05868286,0.75332,,
True,0,-12305.997191533299,0.046072744,0.18182684,0.06109785,0.7110026,,
True,0,-12301.352999483737,0.036524408,0.24415079,0.05599031,0.6633345,,
True,0,-12296.708807434177,0.02658824,0.19207804,0.044122092,0.73721164,,
True,0,-12292.064615384616,0.026155781,0.27326006,0.039706066,0.6608781,,
True,0,-12287.420423335054,0.055621188,0.6263756,0.06498506,0.2530181,,
True,0,-12282.776231285492,0.024169305,0.75990266,0.05082635,0.16510168,,
True,0,-12278.132039235932,0.026894186,0.7290152,0.048585236,0.19550546,,
