forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,0,-12496.409065565307,0.13712826,0.22979257,0.3958258,0.23725338,,
False,0,-12491.764873515745,0.24398454,0.17617889,0.4202485,0.15958807,,
False,0,-12487.120681466185,0.28341636,0.12396811,0.40208545,0.19053008,,
False,0,-12482.476489416624,0.29688126,0.113263026,0.38904017,0.20081556,,
False,0,-12477.832297367062,0.3110488,0.08965146,0.3887376,0.21056214,,
False,0,-12473.188105317502,0.2836977,0.08324374,0.39634174,0.23671684,,
False,0,-12468.54391326794,0.39839068,0.08674519,0.3778591,0.13700505,,
False,0,-12463.899721218379,0.48620763,0.06413506,0.33219856,0.117458746,,
False,0,-12459.255529168817,0.2355695,0.11286674,0.49821907,0.15334469,,
False,0,-12454.611337119257,0.22891209,0.0589116,0.49540582,0.21677049,,
False,0,-12449.967145069695,0.29649988,0.049481273,0.49362174,0.16039713,,
False,0,-12445.322953020133,0.31997576,0.04142984,0.489638,0.1489564,,
False,0,-12440.678760970573,0.258861,0.03807761,0.5489356,0.15412578,,
False,0,-12436.034568921012,0.21399195,0.033679962,0.5703331,0.18199492,,
False,0,-12431.39037687145,0.2178688,0.032980245,0.5628509,0.18630007,,
False,0,-12426.74618482189,0.19707233,0.029462283,0.54344314,0.23002224,,
False,0,-12422.101992772328,0.21752045,0.02891982,0.5483149,0.20524482,,
False,0,-12417.457800722766,0.18812843,0.025990445,0.5282512,0.25762993,,
False,0,-12412.813608673207,0.17213252,0.026357299,0.48024163,0.32126856,,
False,0,-12408.169416623645,0.19782038,0.027866673,0.52287877,0.2514342,,
False,0,-12403.525224574083,0.17732736,0.027907472,0.49368897,0.30107623,,
False,0,-12398.881032524523,0.15768728,0.026511203,0.45579997,0.36000162,,
False,0,-12394.236840474961,0.15546732,0.026638081,0.4375271,0.38036752,,
False,0,-12389.5926484254,0.1734678,0.028950175,0.44603848,0.35154352,,
False,0,-12384.94845637584,0.1544575,0.025334168,0.42897692,0.39123145,,
False,0,-12380.304264326278,0.14784192,0.024518069,0.4136928,0.4139472,,
False,0,-12375.660072276716,0.15875383,0.02405616,0.42524928,0.3919407,,
False,0,-12371.015880227154,0.20674822,0.026682964,0.45790595,0.30866283,,
False,0,-12366.371688177594,0.28554514,0.034951493,0.43818521,0.24131815,,
False,0,-12361.727496128033,0.18817475,0.03754916,0.47141403,0.30286205,,
False,0,-12357.083304078471,0.1581078,0.03511032,0.47537336,0.33140847,,
False,0,-12352.439112028911,0.14717321,0.03067778,0.44079146,0.38135755,,
False,0,-12347.79491997935,0.14058802,0.027350074,0.4274282,0.4046337,,
