forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,0,-57162.54,0.120750055,0.5469538,0.224563,0.10773317,,
True,0,-56344.08,0.24545634,0.43150848,0.27136242,0.05167275,,
True,0,-55525.62,0.3074634,0.3331196,0.314009,0.04540797,,
True,0,-54707.16,0.2290214,0.21176827,0.30974612,0.24946418,,
True,0,-53888.7,0.32705584,0.13781771,0.4031067,0.13201974,,
True,0,-53070.24,0.28631368,0.15541969,0.3809809,0.1772857,,
True,0,-52251.78,0.28811535,0.1785111,0.33302432,0.20034924,,
True,0,-51433.32,0.31046152,0.1517166,0.33732483,0.20049703,,
True,0,-50614.86,0.13846967,0.3053644,0.16023932,0.39592662,,
True,0,-49796.4,0.16998225,0.23807566,0.16088717,0.43105492,,
True,0,-48977.94,0.23056538,0.24163969,0.17043132,0.3573636,,
True,0,-48159.479999999996,0.15225615,0.19341208,0.12666722,0.52766454,,
True,0,-47341.020000000004,0.15625745,0.15305409,0.112405166,0.5782833,,
True,0,-46522.56,0.173006,0.1703745,0.10230311,0.5543164,,
True,0,-45704.1,0.11787695,0.1181656,0.074377075,0.6895804,,
True,0,-44885.64,0.13233903,0.21083109,0.068026,0.5888039,,
True,0,-44067.18,0.18026479,0.28562373,0.07383526,0.46027628,,
True,0,-43248.72,0.36887258,0.2433296,0.08958845,0.29820937,,
True,0,-42430.259999999995,0.58513653,0.12909041,0.08460382,0.20116921,,
True,0,-41611.8,0.83508384,0.069831565,0.074174576,0.020909993,,
True,0,-40793.34,0.7782641,0.102073625,0.09731049,0.022351786,,
True,0,-39974.88,0.76634985,0.052921288,0.13734323,0.043385655,,
True,0,-39156.42,0.80656135,0.047528796,0.11900462,0.026905164,,
True,0,-38337.96,0.67481196,0.039441545,0.16575268,0.11999383,,
True,0,-37519.5,0.7307967,0.03429945,0.16158606,0.073317796,1.0,1.0
True,0,-36701.04,0.5979628,0.0329927,0.18028249,0.18876198,-0.7272727272727272,0.5454545454545454
True,0,-35882.58,0.7182092,0.057848793,0.17195278,0.051989205,-0.16883116883116883,0.567099567099567
True,0,-35064.119999999995,0.70744836,0.043374486,0.17787988,0.07129724,0.4112903225806452,0.7822580645161291
True,0,-34245.66,0.70040214,0.06199907,0.19800183,0.039596934,0.6004645760743322,0.8072009291521486
True,0,-33427.2,0.5328549,0.03862531,0.26015207,0.16836765,0.574660633484163,0.8401206636500754
True,0,-32608.739999999998,0.494555,0.030279448,0.2623903,0.21277526,0.5547329455314649,0.8773135906927553
True,0,-31790.28,0.49093133,0.022946434,0.26800767,0.21811457,0.4248826291079812,0.8419405320813771
True,0,-30971.82,0.32905188,0.017930103,0.2572993,0.3957187,0.3568202348690154,0.8644986449864499
True,0,-30153.36,0.27612665,0.013873681,0.2189286,0.49107108,0.11610129001433349,0.8843764930721452
True,0,-29334.899999999998,0.29250345,0.02189214,0.2416403,0.4439641,0.0044651523975927,0.8990487284022519
True,0,-28516.44,0.17234485,0.025055533,0.14944723,0.65315235,0.09523809523809523,0.9137709137709137
True,0,-27697.98,0.14620453,0.024601791,0.11012224,0.71907145,0.23289527164340876,0.9089554260940251
True,0,-26879.519999999997,0.23885688,0.08002071,0.14107765,0.5400447,0.34304880869766363,0.9044644922507518
True,0,-26061.059999999998,0.18475698,0.028809955,0.097700156,0.6887329,0.4242333433223454,0.9090999900109878
True,0,-25242.6,0.1671324,0.022430789,0.08475296,0.7256838,0.49651446497037305,0.9182642035552457
True,0,-24424.14,0.23810562,0.044688374,0.09235299,0.624853,0.5287171229200216,0.9118165784832453
True,0,-23605.68,0.10315819,0.023966897,0.053035945,0.819839,0.5686114511083913,0.9197606419148647
True,0,-22787.22,0.07712565,0.019960823,0.03982597,0.86308753,0.5973529233197742,0.9197377208426933
True,0,-21968.759999999995,0.11255175,0.023714881,0.04431881,0.8194145,0.6116928446771379,0.925174520069808
True,0,-21150.299999999996,0.09649449,0.015355852,0.03674143,0.8514082,0.6051426038126201,0.9295601201911237
True,0,-20331.839999999997,0.1296777,0.015807712,0.03837354,0.816141,0.5585263346150408,0.9289993740498974
True,0,-19513.379999999997,0.11255108,0.017690908,0.0380896,0.8316684,0.4892992540051363,0.932493579552403
True,0,-18694.92,0.06639409,0.025183663,0.02877771,0.8796446,0.4047619047619047,0.9329004329004328
True,0,-17876.46,0.083825186,0.0332172,0.031073332,0.85188425,0.33987174651075064,0.9113884983368196
True,0,-17058.0,0.11354528,0.032512285,0.038511127,0.8154313,0.27546955036994875,0.8699803958768101
