forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,0,-150315.98630136985,0.07878843,0.70309675,0.15406992,0.06404491,,
True,0,-149222.6301369863,0.06442816,0.75866735,0.08706636,0.08983816,,
True,0,-148129.27397260274,0.049156457,0.809148,0.060322475,0.08137308,,
True,0,-147035.91780821918,0.13824828,0.74070007,0.069018625,0.052033044,,
True,0,-145942.56164383562,0.15726046,0.52154833,0.08313273,0.23805849,,
True,0,-144849.20547945207,0.2541614,0.5848895,0.107106015,0.053843133,,
True,0,-143755.84931506848,0.17150506,0.5349755,0.10933751,0.1841819,,
True,0,-142662.49315068492,0.17197576,0.5943252,0.09856753,0.13513148,-0.7999999999999999,0.6
True,0,-141569.13698630137,0.11911575,0.42317653,0.081465885,0.37624186,0.1619047619047619,0.4476190476190477
True,0,-140475.7808219178,0.09623385,0.32691258,0.06917685,0.5076767,0.6333333333333332,-0.09333333333333331
True,0,-139382.42465753425,0.10750133,0.31920177,0.07154094,0.50175595,-0.018487394957983194,-0.334453781512605
True,0,-138289.0684931507,0.20566764,0.41611305,0.12114175,0.2570776,-0.1797979797979798,-0.44040404040404035
True,0,-137195.7123287671,0.07602135,0.71371394,0.048005708,0.16225903,0.20942760942760946,0.00202020202020202
True,0,-136102.35616438356,0.13118592,0.5335732,0.06756866,0.26767224,0.36057692307692313,0.1807692307692308
True,0,-135009.0,0.100256085,0.36519998,0.056010824,0.47853312,0.3924324324324325,0.12864864864864867
