forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,3,-150315.98630136985,0.13530503,0.53751266,0.2790144,0.048167914,,
False,3,-149222.6301369863,0.19730908,0.4100078,0.2830066,0.10967646,,
False,3,-148129.27397260274,0.20569232,0.32933572,0.25803545,0.20693652,,
False,3,-147035.91780821918,0.21777825,0.22854248,0.26968998,0.28398928,,
False,3,-145942.56164383562,0.190434,0.14975113,0.2737449,0.38606995,,
False,3,-144849.20547945207,0.19524808,0.09995885,0.2819858,0.4228073,,
False,3,-143755.84931506848,0.19313717,0.069907635,0.26796645,0.4689888,,
False,3,-142662.49315068492,0.20106833,0.04595262,0.25117928,0.50179976,-0.9999999999999999,-0.7999999999999999
False,3,-141569.13698630137,0.21974163,0.030282209,0.24051857,0.5094576,-0.6761904761904762,-0.48571428571428577
False,3,-140475.7808219178,0.21003592,0.017108576,0.21454258,0.5583129,-0.7866666666666665,-0.7133333333333332
False,3,-139382.42465753425,0.20009477,0.011592822,0.18639402,0.60191834,-0.8319327731092436,-0.8050420168067227
False,3,-138289.0684931507,0.15940279,0.008516872,0.16453941,0.6675409,-0.7555555555555555,-0.7737373737373737
False,3,-137195.7123287671,0.1729025,0.007771955,0.16294733,0.6563782,-0.6754208754208755,-0.5986531986531987
False,3,-136102.35616438356,0.11859795,0.0049186167,0.11854829,0.75793517,-0.6576923076923078,-0.5048076923076924
False,3,-135009.0,0.09954012,0.0037729957,0.099970974,0.79671586,-0.6331531531531532,-0.4255855855855857
