forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,0,-267828.0924369748,0.10916815,0.57930017,0.20629132,0.10524036,,
False,0,-265497.08403361344,0.114128195,0.44967967,0.14812472,0.28806743,,
False,0,-263166.0756302521,0.11576841,0.35178027,0.12749498,0.40495634,,
False,0,-260835.06722689077,0.13705966,0.2661186,0.1391433,0.45767847,,
False,0,-258504.0588235294,0.14682457,0.20926805,0.14183101,0.5020763,,
False,0,-256173.05042016806,0.16645123,0.15043497,0.15602812,0.52708566,,
False,0,-253842.04201680672,0.17351772,0.10738461,0.16509093,0.55400676,-0.6000000000000001,-0.6363636363636364
False,0,-251511.03361344538,0.17765908,0.07265498,0.15450445,0.5951815,-0.8,-0.7714285714285715
False,0,-249180.02521008404,0.16250506,0.04724831,0.13443513,0.6558115,-0.8365591397849462,-0.7978494623655915
False,0,-246849.01680672268,0.1432132,0.028232392,0.11497869,0.7135757,-0.8219512195121951,-0.8146341463414634
False,0,-244518.00840336134,0.12239091,0.014400226,0.09679703,0.76641184,-0.5749019607843139,-0.8164705882352943
False,0,-242187.0,0.08419683,0.01376625,0.07947737,0.82255954,-0.2153005464480874,-0.6863387978142076
