forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,0,-381594.09278350516,0.11791335,0.6143006,0.21448883,0.053297214,,
True,0,-376317.08247422683,0.11070417,0.7367354,0.12633356,0.026226867,,
True,0,-371040.07216494845,0.16416311,0.6545024,0.15637808,0.024956439,,
True,0,-365763.0618556701,0.16207871,0.5942181,0.13452066,0.10918258,,
True,0,-360486.05154639174,0.18292242,0.57161355,0.13441366,0.11105037,,
True,0,-355209.0412371134,0.17647702,0.50575286,0.16069964,0.15707047,-0.7777777777777777,0.5555555555555555
True,0,-349932.03092783503,0.25781637,0.45351845,0.25244638,0.036218796,-0.6736842105263158,0.7789473684210527
True,0,-344655.0206185567,0.25209147,0.403975,0.2735203,0.07041319,-0.8436781609195403,0.4298850574712643
True,0,-339378.0103092783,0.2767691,0.3585139,0.3260047,0.038712326,-0.8948717948717949,0.47692307692307695
True,0,-334101.0,0.23380175,0.26529223,0.36892086,0.13198514,-0.8612244897959184,0.5575510204081633
