forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,7,-381594.09278350516,0.10000674,0.62497616,0.19110574,0.083911374,,
False,7,-376317.08247422683,0.24754694,0.48613802,0.22818908,0.038125966,,
False,7,-371040.07216494845,0.27275842,0.41946036,0.23615894,0.07162225,,
False,7,-365763.0618556701,0.23948288,0.3715338,0.22082701,0.16815636,,
False,7,-360486.05154639174,0.15292516,0.36204246,0.16040722,0.32462516,,
False,7,-355209.0412371134,0.26043427,0.2765786,0.25565606,0.20733106,0.4666666666666666,-0.7777777777777777
False,7,-349932.03092783503,0.22348031,0.19672401,0.25548226,0.3243134,0.12631578947368421,-0.4631578947368421
False,7,-344655.0206185567,0.19066408,0.15584254,0.22963953,0.42385387,-0.20459770114942533,-0.2781609195402299
False,7,-339378.0103092783,0.22528677,0.10821997,0.24393852,0.4225548,-0.5564102564102564,-0.5666666666666668
False,7,-334101.0,0.22953299,0.09121158,0.23368533,0.44557014,-0.6473469387755102,-0.6751020408163265
