forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,0,-39897606.83760684,0.08826585,0.71209615,0.15616444,0.043473545,,
True,0,-39769615.384615384,0.09287061,0.69241095,0.13970244,0.07501601,,
True,0,-39641623.93162393,0.060398646,0.8130528,0.09149061,0.03505795,,
True,0,-39513632.47863248,0.07091357,0.49277458,0.076644436,0.35966742,,
True,0,-39385641.025641024,0.12608315,0.455154,0.11582869,0.30293417,,
True,0,-39257649.572649576,0.16193943,0.38549066,0.13502938,0.31754053,,
True,0,-39129658.11965812,0.32599506,0.45765057,0.17662427,0.039730106,,
True,0,-39001666.666666664,0.18802717,0.26413584,0.17584686,0.37199014,,
True,0,-38873675.213675216,0.25174496,0.21612525,0.25297856,0.2791512,,
True,0,-38745683.76068376,0.25635767,0.1266434,0.28717053,0.3298284,,
True,0,-38617692.307692304,0.35471123,0.0994812,0.51532567,0.030481944,,
True,0,-38489700.854700856,0.17195064,0.3742588,0.44576257,0.008027974,,
True,0,-38361709.4017094,0.111464724,0.44542137,0.44136375,0.0017501593,,
True,0,-38233717.94871795,0.11092196,0.5074514,0.3808298,0.0007968206,,
True,0,-38105726.495726496,0.14225611,0.42020005,0.43446046,0.0030833813,,
True,0,-37977735.04273504,0.16107574,0.35980973,0.47680148,0.0023130313,,
True,0,-37849743.58974359,0.16622505,0.32439342,0.5060476,0.0033339695,,
True,0,-37721752.136752136,0.17905304,0.3091138,0.5083941,0.0034390497,,
True,0,-37593760.68376069,0.19583514,0.2575978,0.54067457,0.0058925366,,
True,0,-37465769.23076923,0.22247545,0.25660262,0.51548696,0.005434982,,
True,0,-37337777.777777776,0.24193601,0.21388438,0.5310389,0.013140741,,
True,0,-37209786.32478633,0.26722878,0.17352042,0.5425836,0.016667234,,
True,0,-37081794.87179487,0.22729485,0.20886843,0.53558266,0.028254028,,
True,0,-36953803.418803416,0.25772217,0.19660313,0.4960032,0.049671505,0.9999999999999999,0.8666666666666666
True,0,-36825811.96581197,0.26257133,0.16430244,0.48157167,0.091554575,0.43333333333333335,0.6333333333333333
True,0,-36697820.51282051,0.2609659,0.18915491,0.4843603,0.065518856,0.3476923076923077,0.7784615384615385
True,0,-36569829.059829056,0.2632103,0.20115507,0.44083133,0.09480332,0.5365079365079365,0.8285714285714286
True,0,-36441837.60683761,0.24672846,0.13147369,0.37198377,0.24981406,0.6560386473429952,0.8685990338164252
True,0,-36313846.15384615,0.23824151,0.10516025,0.33952457,0.31707364,0.5740259740259741,0.9090909090909091
True,0,-36185854.700854704,0.22519979,0.118810095,0.30862647,0.34736365,0.41258741258741255,0.9235431235431235
True,0,-36057863.24786325,0.20384514,0.47197086,0.23996949,0.08421452,0.5431578947368422,0.9340350877192983
True,0,-35929871.79487179,0.22882883,0.35166252,0.22827344,0.19123521,0.5978112175102598,0.9447332421340628
True,0,-35801880.341880344,0.24605083,0.27415425,0.22510168,0.25469324,0.5916666666666666,0.950877192982456
True,0,-35673888.88888889,0.23972079,0.18430005,0.21745718,0.358522,0.5568733153638815,0.9557951482479786
True,0,-35545897.43589744,0.2526981,0.1660321,0.24803607,0.33323374,0.4215892053973014,0.9196401799100449
True,0,-35417905.982905984,0.24442682,0.18013489,0.2661118,0.3093265,0.2083809523809524,0.838984126984127
True,0,-35289914.52991453,0.22538659,0.37893587,0.22028582,0.1753917,0.04226579520697167,0.6901960784313724
True,0,-35161923.07692308,0.16738898,0.2967409,0.15030116,0.38556898,-0.07529522909777987,0.6041568256967407
True,0,-35033931.623931624,0.16636464,0.22737041,0.1668683,0.43939668,-0.17204301075268816,0.5546732837055418
True,0,-34905940.17094017,0.16749641,0.19811293,0.18785745,0.4465332,-0.257101131799927,0.5180722891566265
True,0,-34777948.71794872,0.17404656,0.16908257,0.21552002,0.44135085,-0.3351948051948052,0.502077922077922
True,0,-34649957.264957264,0.1985148,0.15631464,0.25089017,0.39428037,-0.40238302818947974,0.5121185701830862
True,0,-34521965.81196581,0.2225332,0.1509999,0.30613247,0.3203344,-0.46132914704343286,0.5529042386185244
True,0,-34393974.35897436,0.22582996,0.1576875,0.34909695,0.26738557,-0.5120056831636278,0.5944115557660431
True,0,-34265982.905982904,0.21672913,0.16544327,0.3861578,0.23166975,-0.5529715762273901,0.6297157622739017
True,0,-34137991.452991456,0.25396624,0.15724368,0.42856303,0.16022706,-0.5914257620452311,0.6523893805309735
True,0,-34010000.0,0.25315908,0.14633128,0.47576052,0.12474914,-0.6245221781464118,0.6606563288856833
