forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,6,1389.0,0.09601453,0.65385115,0.19268881,0.057445478,,
True,6,1399.0,0.037441365,0.8404662,0.06245873,0.059633683,,
True,6,1409.0,0.014184274,0.9407749,0.0202515,0.024789263,,
True,6,1419.0,0.006726577,0.9595494,0.007952663,0.025771376,0.7142857142857142,0.0
True,6,1429.0,0.00409498,0.9714531,0.0033733614,0.021078518,0.8562091503267976,0.032679738562091505
True,6,1439.0,0.0025567326,0.98215216,0.0018292759,0.013461833,0.8095238095238094,-0.328042328042328
True,6,1449.0,0.002247117,0.9832018,0.0015562532,0.012994881,0.871977240398293,-0.5163584637268849
True,6,1459.0,0.0019923144,0.968908,0.0015028189,0.027596872,0.7677304964539008,-0.5851063829787234
True,6,1469.0,0.002299054,0.95400065,0.0017787706,0.04192146,0.40229885057471254,-0.5087719298245613
True,6,1479.0,0.0032321252,0.96057236,0.0034942105,0.03270132,0.036874451273046525,-0.4653204565408252
True,6,1489.0,0.010190582,0.9610397,0.007886709,0.020882968,-0.2127872127872128,-0.49250749250749254
True,6,1499.0,0.0020496137,0.9868889,0.0013559277,0.0097055435,-0.3322884012539185,-0.31295715778474403
