forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,1,1359.0,0.065249465,0.76623046,0.12737364,0.041146405,,
True,1,1369.0,0.06585978,0.5590185,0.101063274,0.2740585,,
True,1,1379.0,0.2857101,0.38751808,0.23171858,0.095053256,,
True,1,1389.0,0.37572768,0.20695691,0.3237027,0.09361272,0.0,1.0
True,1,1399.0,0.26935878,0.1198404,0.30877346,0.30202737,0.3186813186813187,0.3406593406593407
True,1,1409.0,0.22764584,0.06366713,0.29211038,0.41657656,0.07971014492753624,0.4420289855072464
True,1,1419.0,0.34562472,0.03967544,0.3891407,0.22555916,-0.38680926916221037,-0.2620320855614973
True,1,1429.0,0.27533907,0.027870785,0.36999026,0.3267999,-0.49048625792811834,-0.4418604651162791
True,1,1439.0,0.19960634,0.018734535,0.27806863,0.50359046,-0.4102026554856743,-0.3431167016072676
True,1,1449.0,0.17900984,0.013176868,0.257729,0.55008435,-0.246031746031746,-0.12996031746031744
True,1,1459.0,0.34628624,0.017910067,0.4961423,0.1396614,-0.016660496112550906,0.14698259903739355
True,1,1469.0,0.18283504,0.009859176,0.33667308,0.4706327,0.17728055077452667,0.31956397016637983
True,1,1479.0,0.22389004,0.010474102,0.40829983,0.357336,0.32097918096545414,0.42759094028826355
True,1,1489.0,0.14798123,0.0062426543,0.27898765,0.5667885,0.4290515309932786,0.4544436146377895
True,1,1499.0,0.123931825,0.004933861,0.24237902,0.62875533,0.41841328986182275,0.36531594472907936
