forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,1,9.0,0.12564315,0.2599661,0.32614434,0.28824642,,
False,1,19.0,0.12480341,0.17813517,0.24899185,0.44806957,,
False,1,29.0,0.122443244,0.1292134,0.2132562,0.53508717,,
False,1,39.0,0.1260752,0.10110004,0.19154161,0.58128315,,
False,1,49.0,0.12627043,0.08590357,0.17443527,0.61339074,,
False,1,59.0,0.12998328,0.07347337,0.17110768,0.6254357,,
False,1,69.0,0.14002272,0.06765381,0.17628056,0.6160429,,
False,1,79.0,0.14527513,0.05780526,0.18057902,0.6163406,,
False,1,89.0,0.14795789,0.044819936,0.17234564,0.63487655,,
False,1,99.0,0.14017609,0.041550916,0.16736093,0.65091205,,
False,1,109.0,0.13787007,0.039867505,0.17055707,0.6517054,,
False,1,119.0,0.13728778,0.038017914,0.16744444,0.6572498,,
False,1,129.0,0.13842681,0.03237209,0.17770126,0.6514998,,
False,1,139.0,0.21339658,0.03474494,0.19886033,0.5529982,,
False,1,149.0,0.12857229,0.022353496,0.15978299,0.68929124,,
False,1,159.0,0.10587863,0.01574343,0.15793233,0.7204456,,
False,1,169.0,0.09518583,0.014620195,0.14600268,0.7441913,,
False,1,179.0,0.094727695,0.014115477,0.12953535,0.7616215,,
False,1,189.0,0.093134955,0.011941021,0.12403841,0.7708856,,
False,1,199.0,0.074363366,0.010545271,0.11131002,0.80378133,,
False,1,209.0,0.07622206,0.009305757,0.11064365,0.80382854,,
False,1,219.0,0.06766591,0.007298396,0.10174398,0.82329166,,
False,1,229.0,0.080635354,0.0067689577,0.1057649,0.80683076,,
False,1,239.0,0.13912687,0.006168184,0.11173878,0.7429662,,
False,1,249.0,0.13421564,0.0071839043,0.11590544,0.74269503,,
False,1,259.0,0.06451892,0.0047332807,0.089619145,0.84112865,,
False,1,269.0,0.07445721,0.005061052,0.09342416,0.82705754,,
False,1,279.0,0.08943155,0.0050947466,0.10053571,0.80493796,,
False,1,289.0,0.07140978,0.005091989,0.08828087,0.83521736,,
False,1,299.0,0.065161094,0.004399255,0.08376208,0.8466776,,
False,1,309.0,0.050767083,0.0052875937,0.07956276,0.86438257,,
False,1,319.0,0.047253154,0.004490546,0.06835154,0.87990475,,
False,1,329.0,0.19382194,0.007662073,0.12340883,0.6751071,,
False,1,339.0,0.05973975,0.0038203418,0.06971202,0.86672795,,
False,1,349.0,0.039555542,0.004750502,0.0720233,0.8836706,,
False,1,359.0,0.03450778,0.003656288,0.053145565,0.90869033,,
False,1,369.0,0.028139016,0.0035631873,0.055085916,0.91321194,,
False,1,379.0,0.026709575,0.0036807288,0.055862688,0.913747,0.3333333333333333,-0.3333333333333333
False,1,389.0,0.024643917,0.00338666,0.05123523,0.9207342,0.4666666666666666,-0.25
False,1,399.0,0.026839167,0.004493413,0.061638575,0.90702885,0.4276923076923077,-0.6123076923076923
False,1,409.0,0.074959844,0.0072660595,0.10908304,0.808691,0.6920634920634922,-0.3015873015873016
False,1,419.0,0.063693576,0.006568381,0.10681776,0.8229203,0.799033816425121,-0.24830917874396138
False,1,429.0,0.076804385,0.0072521544,0.12091713,0.79502636,0.8064935064935066,-0.32467532467532473
False,1,439.0,0.047996007,0.0059113754,0.09068021,0.85541236,0.7855477855477856,-0.40606060606060607
False,1,449.0,0.043765925,0.004777018,0.07587026,0.8755868,0.5957894736842105,-0.5389473684210527
False,1,459.0,0.118089095,0.0073955893,0.14047731,0.734038,0.40902872777017785,-0.6328317373461012
False,1,469.0,0.09406146,0.006041798,0.1047255,0.79517126,0.30131578947368415,-0.5864035087719297
False,1,479.0,0.1239679,0.006365749,0.1209816,0.74868476,0.24204851752021567,-0.4932614555256065
False,1,489.0,0.10803489,0.004895991,0.10432764,0.7827414,0.12773613193403296,-0.28395802098950523
False,1,499.0,0.085372604,0.004416659,0.09843032,0.81178045,0.03415873015873016,-0.1062857142857143
False,1,509.0,0.082129836,0.004583909,0.09620213,0.81708413,0.03790849673202614,-0.02352941176470588
False,1,519.0,0.09046085,0.0062338393,0.10835268,0.79495263,0.11478507321681623,-0.08682097307510628
False,1,529.0,0.061828636,0.0041412585,0.0814347,0.85259545,0.14276261373035568,-0.19619520264681556
False,1,539.0,0.06904538,0.00440985,0.08011157,0.8464333,0.1150054764512596,-0.2535962029937934
False,1,549.0,0.09734024,0.0048353323,0.094016634,0.80380785,0.13753246753246753,-0.2431168831168831
False,1,559.0,0.06315075,0.0035618413,0.07612471,0.85716265,0.18535309503051436,-0.257541412380122
False,1,569.0,0.06348574,0.00398797,0.07434507,0.8581812,0.22490842490842494,-0.2797488226059655
False,1,579.0,0.122010365,0.006906122,0.10961773,0.7614658,0.2298366090457021,-0.2836372247217618
False,1,589.0,0.041416567,0.0032771006,0.06355409,0.89175224,0.2637381567614125,-0.27614125753660634
False,1,599.0,0.042456638,0.0028802,0.060107876,0.8945553,0.3058013765978368,-0.2972271386430679
False,1,609.0,0.034808956,0.0027046683,0.05644966,0.90603673,0.3580959249909844,-0.3357374684457266
False,1,619.0,0.032040022,0.0024956758,0.05636241,0.90910184,0.408727393396383,-0.37740169238427074
False,1,629.0,0.029648831,0.002147927,0.049749445,0.9184538,0.44411764705882356,-0.41911764705882354
False,1,639.0,0.029382471,0.002030904,0.047933564,0.92065305,0.4711306568307562,-0.45745495815009224
False,1,649.0,0.025225837,0.0018482236,0.04647348,0.92645246,0.4823188405797102,-0.4829512516469039
False,1,659.0,0.054755133,0.0032932428,0.11835872,0.82359296,0.4967488651699178,-0.5137774506195558
False,1,669.0,0.023948655,0.0020588543,0.057478745,0.91651374,0.529225836005497,-0.5166284928996793
False,1,679.0,0.034182794,0.0029111137,0.07794667,0.8849594,0.5556412729026036,-0.5050251794706954
False,1,689.0,0.026609305,0.0036583014,0.0717409,0.8979915,0.583001808318264,-0.41699819168173596
False,1,699.0,0.04151903,0.004878698,0.1057904,0.8478119,0.6079660217083529,-0.34372817366682396
False,1,709.0,0.041535806,0.0042413166,0.08728347,0.8669394,0.629140014214641,-0.28418621179815207
False,1,719.0,0.03308206,0.003664776,0.07378462,0.88946855,0.6497612465443579,-0.23913881209684174
False,1,729.0,0.028930813,0.0031312157,0.0631451,0.9047929,0.6631112517803449,-0.1876246241493907
False,1,739.0,0.026669014,0.0027449338,0.055915274,0.91467077,0.6703944906055842,-0.124455423310128
False,1,749.0,0.02740858,0.0024902124,0.054027926,0.9160733,0.6740141843971631,-0.07571631205673757
False,1,759.0,0.026655754,0.0023752106,0.051219143,0.9197499,0.6791333019312294,-0.0328510867370971
False,1,769.0,0.033657115,0.0026257583,0.055371363,0.9083458,0.6805267868559008,0.013834548011763202
False,1,779.0,0.044589605,0.0027849022,0.06169232,0.8909332,0.6741227269962902,0.039396703764519855
False,1,789.0,0.048376072,0.003647408,0.06014385,0.88783264,0.664944392956441,0.03526413345690454
False,1,799.0,0.05070877,0.0035663764,0.0594486,0.88627625,0.6576194421430543,0.031737089201877934
False,1,809.0,0.060068835,0.003668296,0.060810655,0.8754522,0.652346303912264,0.0443319624591374
False,1,819.0,0.06057639,0.0035656493,0.06139921,0.8744588,0.6419811558421927,0.05900136040711442
False,1,829.0,0.06283617,0.003158483,0.058826663,0.8751787,0.6269905533063428,0.0589358010410642
False,1,839.0,0.067711815,0.003935361,0.06041225,0.86794055,0.6102265909825096,0.03694679034565509
False,1,849.0,0.07434018,0.0045760097,0.061802678,0.8592812,0.5926934984520124,-0.0026713843432109685
False,1,859.0,0.07154555,0.0033986825,0.057438858,0.86761695,0.5765135123668914,-0.03661278689915574
False,1,869.0,0.079562694,0.0042792917,0.060656868,0.8555012,0.5660964483545129,-0.06999022482893451
False,1,879.0,0.07506301,0.0040898477,0.0577923,0.8630549,0.5626501780612845,-0.09148827926270889
False,1,889.0,0.0767162,0.0034272906,0.058948867,0.8609077,0.5466847294347859,-0.10465868894408067
False,1,899.0,0.07430382,0.002905539,0.05730154,0.8654891,0.5046025710664495,-0.09363751584283904
False,1,909.0,0.09398811,0.003937957,0.066811495,0.8352625,0.474989538289859,-0.09136560189705677
False,1,919.0,0.06189348,0.0029033932,0.052797258,0.8824059,0.45231038075074764,-0.09748966629700573
False,1,929.0,0.08379839,0.00412934,0.069008894,0.84306335,0.42850476375656227,-0.09677879318167086
