forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,1,1389.0,0.11454576,0.61658543,0.20700674,0.061862063,,
True,1,1399.0,0.13941206,0.5102891,0.17184444,0.17845446,,
True,1,1409.0,0.15663168,0.4541882,0.14942862,0.2397515,,
True,1,1419.0,0.18741825,0.43257943,0.14394757,0.23605478,-0.8909090909090909,-0.38181818181818183
True,1,1429.0,0.33417618,0.43163818,0.17272414,0.061461486,-0.9142857142857144,-0.7142857142857143
True,1,1439.0,0.46242133,0.24915633,0.25193116,0.03649116,-0.578494623655914,-0.23440860215053763
True,1,1449.0,0.13907889,0.6221109,0.20555711,0.033253126,0.03414634146341463,0.13170731707317074
True,1,1459.0,0.21447067,0.4873561,0.27788085,0.020292401,0.27372549019607845,0.29568627450980395
True,1,1469.0,0.23315215,0.3601517,0.3630926,0.043603513,0.29508196721311475,0.30928961748633876
True,1,1479.0,0.23675951,0.29381946,0.40804744,0.06137356,0.15653923541247486,0.2643863179074447
True,1,1489.0,0.24002786,0.2531929,0.45523137,0.051547877,-0.10679012345679012,-0.022839506172839506
True,1,1499.0,0.2331095,0.21852651,0.49222174,0.05614228,-0.2615384615384615,-0.21514041514041513
