forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,2,1009.0,0.11417045,0.6233963,0.21778834,0.044644915,,
False,2,1019.0,0.26491874,0.3689676,0.2648099,0.101303816,,
False,2,1029.0,0.24130504,0.30256268,0.24755415,0.20857814,,
False,2,1039.0,0.34310526,0.24256046,0.36955133,0.04478299,,
False,2,1049.0,0.29857022,0.18737283,0.34811336,0.16594361,,
False,2,1059.0,0.3377908,0.14162908,0.42941642,0.09116374,,
False,2,1069.0,0.36583605,0.09979337,0.4548571,0.079513475,,
False,2,1079.0,0.25725168,0.058507532,0.41302928,0.27121148,,
False,2,1089.0,0.3127033,0.03804136,0.4722351,0.17702022,,
False,2,1099.0,0.3132189,0.025818964,0.4968589,0.16410324,,
False,2,1109.0,0.31117833,0.02311943,0.5301151,0.13558716,,
False,2,1119.0,0.331285,0.021168934,0.5373899,0.110156216,,
False,2,1129.0,0.37869847,0.01717041,0.53946644,0.064664714,-0.7333333333333333,0.2
False,2,1139.0,0.4916429,0.013028112,0.46480864,0.03052032,-0.016666666666666666,0.35
False,2,1149.0,0.5583547,0.011588315,0.4102432,0.019813767,-0.4892307692307692,-0.4153846153846154
False,2,1159.0,0.5786422,0.010842227,0.39909095,0.01142467,-0.5523809523809524,-0.44444444444444453
False,2,1169.0,0.6694617,0.010671533,0.31541678,0.004449968,-0.7024154589371981,-0.6386473429951691
False,2,1179.0,0.6030562,0.011308049,0.3821166,0.0035191681,-0.7961038961038962,-0.7532467532467533
False,2,1189.0,0.594706,0.01570571,0.38645002,0.0031382362,-0.7976689976689976,-0.7557109557109556
False,2,1199.0,0.47585115,0.026765665,0.49446815,0.0029150085,-0.7221052631578949,-0.665263157894737
False,2,1209.0,0.33091065,0.033368476,0.63139874,0.0043220986,-0.6459644322845417,-0.6196990424076607
False,2,1219.0,0.26242527,0.033357583,0.6973547,0.00686246,-0.6315789473684209,-0.6149122807017543
False,2,1229.0,0.2291539,0.032835893,0.71827835,0.019731851,-0.5238095238095238,-0.6276729559748428
False,2,1239.0,0.20948139,0.019779067,0.7328126,0.03792695,-0.45247376311844073,-0.6731634182908546
False,2,1249.0,0.19342336,0.015371032,0.75287133,0.0383343,-0.3726984126984127,-0.6866031746031747
False,2,1259.0,0.1799036,0.011037549,0.7684651,0.040593766,-0.2941176470588235,-0.6915032679738561
False,2,1269.0,0.1711492,0.008610172,0.7733077,0.046932977,-0.2307982994803968,-0.6589513462446859
False,2,1279.0,0.17503414,0.01065263,0.7624216,0.051891617,-0.16294458229942102,-0.610752688172043
False,2,1289.0,0.17589206,0.007450306,0.74771,0.06894769,-0.0900328587075575,-0.5643665571376415
False,2,1299.0,0.17650753,0.00682598,0.7407318,0.07593471,-0.041428571428571426,-0.5725974025974025
False,2,1309.0,0.17396954,0.0062935688,0.72629493,0.09344192,0.01400755594303981,-0.5645451903516419
False,2,1319.0,0.16793011,0.005943301,0.7235404,0.10258613,0.01580324437467295,-0.5929879644165359
False,2,1329.0,0.16535251,0.0062862085,0.72511566,0.10324558,-0.03727208145867866,-0.6298366090457022
False,2,1339.0,0.16657826,0.0057887402,0.7318365,0.09579653,-0.09715762273901807,-0.6608957795004305
False,2,1349.0,0.16829894,0.005916114,0.72039706,0.105387904,-0.17034414945919374,-0.6894395280235989
False,2,1359.0,0.16577628,0.005449884,0.7236781,0.10509571,-0.23151821132347636,-0.7004688063469167
False,2,1369.0,0.17483516,0.005247713,0.6913065,0.12861066,-0.2719429235108678,-0.701543056246889
False,2,1379.0,0.16659547,0.0055042254,0.68595695,0.14194335,-0.2840073529411765,-0.6856004901960785
False,2,1389.0,0.1752998,0.0055424604,0.66289395,0.15626375,-0.2866505887359909,-0.6775145410696554
False,2,1399.0,0.16970748,0.005489723,0.6706059,0.1541969,-0.2671936758893281,-0.6860606060606061
False,2,1409.0,0.17306784,0.0063047945,0.72262055,0.09800685,-0.2451969083548031,-0.6963808121702858
False,2,1419.0,0.21142237,0.006015391,0.70671755,0.07584472,-0.23270728355474116,-0.6996335318369217
False,2,1429.0,0.22518042,0.005960275,0.7036756,0.06518369,-0.23608700310725383,-0.7011464695167684
False,2,1439.0,0.2962348,0.006312401,0.6401938,0.057259034,-0.21527024311834436,-0.693911995177818
False,2,1449.0,0.33869964,0.007153812,0.62397397,0.030172568,-0.1944124587069372,-0.6881925436526664
False,2,1459.0,0.37955916,0.0071186214,0.5823375,0.030984739,-0.14104477611940297,-0.6954157782515991
False,2,1469.0,0.41351932,0.0076630376,0.5614923,0.017325308,-0.08958699840831029,-0.6980145765267656
False,2,1479.0,0.4418293,0.008004786,0.5427562,0.007409753,-0.04272827979110618,-0.6916600727963286
False,2,1489.0,0.4273067,0.008015005,0.5599699,0.0047084414,-0.007650273224043716,-0.7019237966913691
False,2,1499.0,0.41113272,0.009735915,0.57395196,0.0051793987,0.0058156028368794325,-0.7153191489361701
