forced,tsid,time,state,residuals
False,4,0.0,0.8245949990048943,0.001892548467723132
False,4,1.0,0.8368700756166416,0.014172957532619379
False,4,2.0,0.8396569129072711,0.01696517790144325
False,4,3.0,0.8376003802572014,0.014914080078818559
False,4,4.0,0.8374810087024873,0.014800196531816856
False,4,5.0,0.8329960560372235,0.010320786793242664
False,4,6.0,0.8184160992835215,-0.004253570075272162
False,4,7.0,0.8097083415169384,-0.012955668746120086
False,4,8.0,0.8271319839655771,0.00447369419490351
False,4,9.0,0.8272438324686702,0.004591326606712354
False,4,10.0,0.8233813954716798,0.0007347390273302334
False,4,11.0,0.8187208438225945,-0.003919895479059021
False,4,12.0,0.81121609884561,-0.011418653339127949
False,4,13.0,0.8056721427596286,-0.016956550179197505
False,4,14.0,0.8241303073529167,0.0015077477262323002
False,4,15.0,0.8141215945973429,-0.00849475591852622
False,4,16.0,0.8153789646545713,-0.007231099260531004
False,4,17.0,0.8174338087771695,-0.005169889505642455
False,4,18.0,0.8083605400702307,-0.01423671217491207
False,4,19.0,0.8218521932644853,-0.0007385313199013144
False,4,20.0,0.809602923743526,-0.012981190536282772
False,4,21.0,0.8194521277383564,-0.003125292668654911
False,4,22.0,0.8188423016205675,-0.0037283406057800894
False,4,23.0,0.8125226215596387,-0.01004115755070678
False,4,24.0,0.8180089041170235,-0.004547926429282478
False,4,25.0,0.8226119569758084,6.216077023823985e-05
False,4,26.0,0.8327425610471509,0.010199885170879774
False,4,27.0,0.8348198398094901,0.012284370475771356
False,4,28.0,0.830605278660537,0.008077102487923926
False,4,29.0,0.8069928846567322,-0.0155279111076565
False,4,30.0,0.8153314622300596,-0.007181865132437015
False,4,31.0,0.8150344437969663,-0.007471326590394289
False,4,32.0,0.8179078216556779,-0.004590302788684331
False,4,33.0,0.816620498722744,-0.005869890582013149
False,4,34.0,0.8276105798135336,0.005128014940290027
False,4,35.0,0.8197596943523969,-0.0027149568024849025
False,4,36.0,0.8286741605380048,0.006207512417836791
False,4,37.0,0.8287905240696096,0.0063319683177675
False,4,38.0,0.8469658316016605,0.024515457663743634
False,4,39.0,0.8389134444673987,0.016471342033778424
False,4,40.0,0.8231405377085562,0.0007067968690898097
False,4,41.0,0.8276096675675775,0.0051843789904512105
False,4,42.0,0.8249564959018106,0.0025397508972876404
False,4,43.0,0.8139792090943032,-0.008428900300516351
False,4,44.0,0.8157462204159601,-0.006653160580927686
False,4,45.0,0.8224981296653605,0.00010757046814946492
False,4,46.0,0.819551358041484,-0.0028302854748640804
False,4,47.0,0.8133608472300321,-0.009011786288727786
False,4,48.0,0.8122611995701078,-0.01010232928353294
False,4,49.0,0.8177597592771486,-0.0045945700711658155
False,4,50.0,0.8100974935193319,-0.012247541505357007
False,4,51.0,0.8198581422870506,-0.002477503774369061
False,4,52.0,0.8201340488241428,-0.0021921140064873335
False,4,53.0,0.8145897716967501,-0.007726814116045699
False,4,54.0,0.8292949862830712,0.006988070697044435
False,4,55.0,0.8165092604687029,-0.005787892380730519
False,4,56.0,0.821027153907958,-0.001260144377125627
False,4,57.0,0.8173916584211932,-0.004885694250234995
False,4,58.0,0.8099914849368259,-0.012275831943145743
False,4,59.0,0.8144328765523308,-0.007824315378569202
False,4,60.0,0.8221716596471145,-7.531942450345053e-05
False,4,61.0,0.821122573095989,-0.0011141066421460621
False,4,62.0,0.8180265624256879,-0.0041997330241146935
False,4,63.0,0.8127377856461132,-0.009478042165771638
False,4,64.0,0.8174019812884727,-0.004803297292890418
False,4,65.0,0.8195200272720725,-0.002674622457663811
False,4,66.0,0.8288291151092483,0.006645171704880326
False,4,67.0,0.8331722239409595,0.010999062082853173
False,4,68.0,0.8270466226007054,0.004884315297409847
False,4,69.0,0.8373323982698642,0.015181016417197934
False,4,70.0,0.8307964628927524,0.008656075342409975
False,4,71.0,0.8256949447610792,0.0035656184452279582
False,4,72.0,0.8260705207837419,0.003952320812124599
False,4,73.0,0.8159080518059596,-0.006198958503946472
False,4,74.0,0.8243545502119838,0.0022587910734650496
False,4,75.0,0.8267983006661911,0.004713852270543772
False,4,76.0,0.8325497141787159,0.010476634117441153
False,4,77.0,0.8222579550238174,0.00019629894590800223
False,4,78.0,0.8170038413754771,-0.005046336934414031
False,4,79.0,0.8243273377086542,0.0022886890357587397
False,4,80.0,0.8268178960193208,0.004790826800750048
False,4,81.0,0.8345395251881356,0.012524083146411291
False,4,82.0,0.8445030638845621,0.022499294684738103
False,4,83.0,0.8381418376720143,0.016149785038569342
False,4,84.0,0.8283991429660115,0.006418848804829458
False,4,85.0,0.8178134232909254,-0.004155072169809593
False,4,86.0,0.8154590071714903,-0.006497650983368297
False,4,87.0,0.821554800318343,-0.0003899836724043926
False,4,88.0,0.8361407588456927,0.0142078839500136
False,4,89.0,0.8268198349144185,0.00489890205218646
False,4,90.0,0.8230464899691576,0.001137530186037461
False,4,91.0,0.8305638764429283,0.008666918941037882
False,4,92.0,0.8187777876747733,-0.00310714018808278
False,4,93.0,0.8108936053048158,-0.01097926735697885
False,4,94.0,0.8331615732931827,0.011300779475708733
False,4,95.0,0.8368630833397094,0.015014389893313829
False,4,96.0,0.8161360214100932,-0.005700552179764395
False,4,97.0,0.8206590417322424,-0.00116539444825281
False,4,98.0,0.8375115945447511,0.015699311266857974
False,4,99.0,0.8257285190894309,0.003928402069242609
False,4,100.0,0.8328116860303365,0.011023746591764527
